"V1"	"V1.1"	"V1.2"	"V1.3"	"V1.4"	"V1.5"	"V1.6"	"V1.7"	"V1.8"	"V1.9"
"weak.enhancers"	0.0932471048277937	0.0849879663056558	0.0882839524740563	0.0959398496240601	0.0949014889457061	0.0925368642792657	0.0890627350684519	0.0870676691729323	0.0875714715618417	0.0936842105263158
"transcription"	0.0929463077154459	0.0947653429602888	0.0970070687321402	0.0861654135338346	0.0979094600691833	0.0972013241047247	0.0955318188656537	0.0993984962406015	0.0953957267529341	0.0960902255639098
"enhancers"	0.108136561889006	0.102436823104693	0.0964054745074447	0.0966917293233083	0.0956534817265754	0.0940415287390912	0.0932751617270949	0.0989473684210526	0.0996087872404454	0.0918796992481203
"quescient"	0.29177319897729	0.285950661853189	0.302902692134155	0.299699248120301	0.289366822078508	0.295817032801685	0.292462765157214	0.292481203007519	0.299428227505266	0.298496240601504
"transcribed.and.enhancer"	0.0282749285606858	0.0330926594464501	0.0305309069032937	0.0291729323308271	0.0309821025718153	0.0297923563045441	0.029486986610501	0.0314285714285714	0.0335540174541077	0.0315789473684211
"polycomb.repressed"	0.0884343510302301	0.0995788206979543	0.0909911264851857	0.0950375939849624	0.0936983004963152	0.090129401143545	0.0911689483977734	0.0896240601503759	0.0838098104122781	0.0890225563909774
"acetylations"	0.0505339148744172	0.0497894103489771	0.0509851105429388	0.0542857142857143	0.0506843134305911	0.0501053265121878	0.060779298931849	0.0545864661654135	0.0436352693349383	0.0514285714285714
"promoters"	0.0126334787186043	0.0148916967509025	0.0132350729432997	0.0142857142857143	0.0147390585050384	0.016250376166115	0.0157965999699112	0.0159398496240601	0.0159494432741499	0.0147368421052632
"weak.transcription"	0.0372988419311175	0.0356498194945848	0.0321852910212062	0.032781954887218	0.0379004361558129	0.0350586819139332	0.0321949751767715	0.0311278195488722	0.0430334035510081	0.0333834586466165
"bivalent.promoters"	0.00782072492104076	0.00737063778580024	0.00736952925251918	0.00721804511278195	0.00706873214017145	0.00647005717724947	0.007221302843388	0.00691729323308271	0.00692145651519711	0.00766917293233083
"exon"	0.013987065724169	0.0145908543922984	0.0133854714994736	0.015187969924812	0.0121822830500827	0.0154980439362022	0.0154957123514367	0.0148872180451128	0.0151971110442371	0.0124812030075188
"HET"	0.0472251466385923	0.0467809867629362	0.0493307264250263	0.0479699248120301	0.0490299293126786	0.0526632560938911	0.0488942380021062	0.0505263157894737	0.0455913331327114	0.0469172932330827
"znf"	0.00315836967965108	0.00541516245487365	0.0049631523537374	0.00526315789473684	0.00631673935930215	0.00511585916340656	0.004814201895592	0.00526315789473684	0.00496539271742401	0.00571428571428571
"TSS"	0.00225597834260791	0.00240673886883273	0.00225597834260791	0.00165413533834586	0.00195518123026019	0.00180559735179055	0.00195576952008425	0.00135338345864662	0.00210653024375564	0.00210526315789474
"others"	0.0207550007519928	0.0179001203369434	0.0160926455106031	0.0165413533834586	0.0175966310723417	0.017905507071923	0.019858582819317	0.0203007518796992	0.0180559735179055	0.0193984962406015
"DNase"	0.00120318844939089	0.00180505415162455	0.00105278989321703	0.00150375939849624	0.00210557978643405	0.00150466445982546	0.0015044380923725	0.000601503759398496	0.00135419801384291	0.00255639097744361
