"A_Ctrl10.8m.nodup.q30"	"A_Ctrl11.8m.nodup.q30"	"A_Ctrl12.8m.nodup.q30"	"A_Ctrl1.8m.nodup.q30"	"A_Ctrl13.8m.nodup.q30"	"A_Ctrl14.8m.nodup.q30"	"A_Ctrl15.8m.nodup.q30"	"A_Ctrl16.8m.nodup.q30"	"A_Ctrl17.8m.nodup.q30"	"A_Ctrl18.8m.nodup.q30"	"A_Ctrl2.8m.nodup.q30"	"A_Ctrl3.8m.nodup.q30"	"A_Ctrl4.8m.nodup.q30"	"A_Ctrl5.8m.nodup.q30"	"A_Ctrl6.8m.nodup.q30"	"A_Ctrl7.8m.nodup.q30"	"A_Ctrl8.8m.nodup.q30"	"A_Ctrl9.8m.nodup.q30"	"A_Apc10.8m.nodup.q30"	"A_Apc11.8m.nodup.q30"	"A_Apc12.8m.nodup.q30"	"A_Apc1.8m.nodup.q30"	"A_Apc13.8m.nodup.q30"	"A_Apc2.8m.nodup.q30"	"A_Apc3.8m.nodup.q30"	"A_Apc4.8m.nodup.q30"	"A_Apc5.8m.nodup.q30"	"A_Apc6.8m.nodup.q30"	"A_Apc7.8m.nodup.q30"	"A_Apc8.8m.nodup.q30"	"A_Apc9.8m.nodup.q30"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"12:30770001-30780000"	4.31726609987679	18.0648802955025	4.2918147938856	0	14.7425416141743	9.41826409956182	0	2.91908394183463	1.80342016831501	2.76717373741818	0	1.40633703907831	0	14.2008399228781	0	7.23198184868982	0	2.84892188605181	0	30.8749571781497	5.56725374749247	8.83603304823627	70.452766082657	10.0020332704777	0	0	9.64717104501051	50.1264383295177	76.0751318001658	91.7986502975588	172.181624733418	0.0060439701882913	0.00604397018831049	3.11467007339093	1.83265390383284	"upsig"	"upsig"	"upsig"	"upsig"
"1:60390001-60400000"	5.75635479983571	0	0	14.9326206219762	21.4436968933444	12.7819298494053	0	16.0549616800904	0	0	0	5.62534815631324	1.44526725918289	26.9815958534684	0	24.1066061622994	10.4015519115452	8.54676565815544	0	61.7499143562993	25.0526418637161	7.36336087353023	0	174.321151285468	0	68.578499431817	316.872464324576	1.4963115919259	127.748806230467	152.997750495931	0	0.00903661832414503	0.00903661832417857	3.12992797753446	2.1382463141503	"upsig"	"upsig"	"upsig"	"upsig"
"12:67280001-67290000"	8.63453219975357	2.77921235315424	4.2918147938856	0	0	0	0	4.37862591275194	1.80342016831501	0	0	7.03168519539155	4.33580177754865	5.68033596915123	0	7.23198184868982	0	0	24.1856847887763	11.6638727117454	0	36.8168043676511	16.5771214312134	5.71544758313011	26.6478528024466	86.2323705726807	57.8830262700631	0	2.8707596905723	20.3997000661242	2.9060189828425	0.0025193706678376	0.00251937066782559	3.13000615649834	4.20038604267347	"upsig"	"upsig"	"upsig"	"upsig"
"15:57200001-57210000"	0	1.38960617657712	0	2.71502193126841	0	1.3454662999374	2.89735021387515	1.45954197091731	1.80342016831501	0	0	2.81267407815662	7.22633629591442	2.84016798457562	0	0	0	5.69784377210363	4.03094746479606	0	1.39181343687312	28.7171074067679	6.90713392967225	15.7174808536078	4.32127342742378	0	54.1725758681359	4.48893477577771	0	42.2565215655429	29.7866945741356	0.00487943148839946	0.00487943148840964	3.13699662779554	1.71479407063677	"upsig"	"upsig"	"upsig"	"upsig"
"7:74400001-74410000"	4.31726609987679	12.5064555891941	10.0142345190664	0	10.7218484466722	24.2183933988732	0	14.5954197091731	0	0	8.8159612979299	0	2.89053451836577	35.5020998071952	12.9768711783114	9.64264246491977	0	1.42446094302591	229.764005493375	0	2.08772015530968	64.061239599713	113.967709839592	45.7235806650409	0	0	84.5982691639383	81.5489817599617	176.551720970196	159.554796945757	3.63252372855313	0.00116045520934333	0.00116045520930852	3.17280928962681	3.28623022295432	"upsig"	"upsig"	"upsig"	"upsig"
"10:29290001-29300000"	5.75635479983571	2.77921235315424	0	0	8.04138633500416	20.181994499061	49.2549536358775	7.29770985458656	1.80342016831501	0	0	0	0	22.7213438766049	1.44187457536794	19.2852849298395	0	0	0	157.805336688321	68.1988584067828	5.89068869882418	0	8.57317137469517	20.165942661311	118.145137635011	202.590591945221	2.24446738788885	299.994387664805	35.6994751157173	0	0.00992317627701844	0.00992317627705719	3.19948602730998	3.63549942888409	"upsig"	"upsig"	"upsig"	"upsig"
"4:38010001-38020000"	0	0	2.8612098625904	0	16.0827726700083	0	0	1.45954197091731	1.80342016831501	0	0	0	0	0	9.37218473989159	0	1.4859359873636	1.42446094302591	0	30.1888470186352	1.39181343687312	16.1993939217665	2.7628535718689	0	22.3265793750229	0	1.48418016077085	68.8303332285915	0	38.6137179823065	47.9493132169013	0.00699734397316316	0.00699734397318941	3.20530128588728	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:26020001-26030000"	8.63453219975357	1.38960617657712	0	1.3575109656342	1.34023105583403	13.454662999374	11.5894008555006	14.5954197091731	1.80342016831501	0	1.46932688298832	0	0	1.42008399228781	5.76749830147175	0	0	5.69784377210363	0	24.0138555830053	1.39181343687312	11.7813773976484	24.8656821468201	34.2926854987807	5.76169790323171	0	51.9463056269797	83.7934491478505	0	57.5562966151361	163.463567784891	0.00775574764493234	0.00775574764495823	3.21297318558648	4.09538410141749	"upsig"	"upsig"	"upsig"	"upsig"
"9:58840001-58850000"	7.19544349979464	0.694803088288559	1.4306049312952	0	8.04138633500416	0	0	11.6763357673385	0	0	0	0	18.7884743693775	8.52050395372685	0	9.64264246491977	0	12.1079180157202	0	2.74444063805775	12.5263209318581	141.37652877178	0	131.455294411993	0	0	126.897403745907	1.4963115919259	67.462852728449	10.1998500330621	53.7613511825863	0.00799889153708131	0.00799889153710887	3.28009189587495	4.87579996377716	"upsig"	"upsig"	"upsig"	"upsig"
"15:70560001-70570000"	1.43908869995893	1.38960617657712	1.4306049312952	0	8.04138633500416	2.6909325998748	10.140725748563	2.91908394183463	0	29.0553242428909	0	2.81267407815662	0	0	0	8.4373121568048	7.429679936818	1.42446094302591	131.677617183338	16.4666438283465	96.7310338626817	0	0	0.714430947891264	0	0	90.5349898070217	10.4741811434813	83.9697209492397	112.92691108033	11.62407593137	0.00367517089297952	0.00367517089298042	3.31540787066018	3.01814740417428	"upsig"	"upsig"	"upsig"	"upsig"
