"A_Ctrl10.8m.nodup.q30"	"A_Ctrl11.8m.nodup.q30"	"A_Ctrl12.8m.nodup.q30"	"A_Ctrl1.8m.nodup.q30"	"A_Ctrl13.8m.nodup.q30"	"A_Ctrl14.8m.nodup.q30"	"A_Ctrl15.8m.nodup.q30"	"A_Ctrl16.8m.nodup.q30"	"A_Ctrl17.8m.nodup.q30"	"A_Ctrl18.8m.nodup.q30"	"A_Ctrl2.8m.nodup.q30"	"A_Ctrl3.8m.nodup.q30"	"A_Ctrl4.8m.nodup.q30"	"A_Ctrl5.8m.nodup.q30"	"A_Ctrl6.8m.nodup.q30"	"A_Ctrl7.8m.nodup.q30"	"A_Ctrl8.8m.nodup.q30"	"A_Ctrl9.8m.nodup.q30"	"A_Apc10.8m.nodup.q30"	"A_Apc11.8m.nodup.q30"	"A_Apc12.8m.nodup.q30"	"A_Apc1.8m.nodup.q30"	"A_Apc13.8m.nodup.q30"	"A_Apc2.8m.nodup.q30"	"A_Apc3.8m.nodup.q30"	"A_Apc4.8m.nodup.q30"	"A_Apc5.8m.nodup.q30"	"A_Apc6.8m.nodup.q30"	"A_Apc7.8m.nodup.q30"	"A_Apc8.8m.nodup.q30"	"A_Apc9.8m.nodup.q30"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"1:24820001-24830000"	7.19544349979464	2.77921235315424	0	0	5.3609242233361	2.6909325998748	8.69205064162545	2.91908394183463	0	0	2.20399032448248	0	0	4.26025197686342	0	16.8746243136096	2.9718719747272	5.69784377210363	0	0	0	11.7813773976484	0	15.0030499057165	14.4042447580793	29.1967868868132	17.0680718488647	38.1559455941105	2.8707596905723	26.2281857993025	37.0517420312419	0.0032528010214583	0.00325280102145509	2.10670376560267	2.39684305071599	"upsig"	"upsig"	"upsig"	"upsig"
"1:26020001-26030000"	8.63453219975357	1.38960617657712	0	1.3575109656342	1.34023105583403	13.454662999374	11.5894008555006	14.5954197091731	1.80342016831501	0	1.46932688298832	0	0	1.42008399228781	5.76749830147175	0	0	5.69784377210363	0	24.0138555830053	1.39181343687312	11.7813773976484	24.8656821468201	34.2926854987807	5.76169790323171	0	51.9463056269797	83.7934491478505	0	57.5562966151361	163.463567784891	0.00775574764493234	0.00775574764495823	3.21297318558648	4.09538410141749	"upsig"	"upsig"	"upsig"	"upsig"
"1:40490001-40500000"	5.75635479983571	54.8894439747962	2.8612098625904	0	28.1448521725145	28.9275254486541	0	116.763357673385	13.5256512623626	0	4.40798064896495	17.5792129884789	1.44526725918289	17.7510499035976	0	28.9279273947593	189.456838388859	7.12230471512953	1.34364915493202	0	450.94755354689	110.450413102953	26.2471089327546	63.5843543623225	54.0159178427973	508.567287865652	34.1361436977295	235.66907572833	528.937472987946	349.7091439907	18.1626186427656	0.00434550334070398	0.00434550334070971	2.67172466088068	2.62267284736695	"upsig"	"upsig"	"upsig"	"upsig"
"1:59530001-59540000"	0	0	5.00711725953319	0	8.04138633500416	0	0	29.1908394183463	1.80342016831501	20.0620095962818	0	1.40633703907831	8.67160355509731	2.84016798457562	0	2.41066061622994	5.2007759557726	11.3956875442073	1.34364915493202	0	72.3742987174022	32.398787843533	1.38142678593445	47.8668735087147	0	2.7159801755175	67.5301973150736	56.1116846972213	0	82.327360981144	1.45300949142125	0.00776831521293142	0.00776831521295751	2.39781242652849	0.366254978006191	"upsig"	"upsig"	"nosig"	"nosig"
"1:60390001-60400000"	5.75635479983571	0	0	14.9326206219762	21.4436968933444	12.7819298494053	0	16.0549616800904	0	0	0	5.62534815631324	1.44526725918289	26.9815958534684	0	24.1066061622994	10.4015519115452	8.54676565815544	0	61.7499143562993	25.0526418637161	7.36336087353023	0	174.321151285468	0	68.578499431817	316.872464324576	1.4963115919259	127.748806230467	152.997750495931	0	0.00903661832414503	0.00903661832417857	3.12992797753446	2.1382463141503	"upsig"	"upsig"	"upsig"	"upsig"
"1:73590001-73600000"	1.43908869995893	4.86362161801991	0	1.3575109656342	3.35057763958506	10.7637303994992	2.89735021387515	0	0	0	10.2852881809182	0	5.78106903673154	0	7.20937287683969	21.6959455460695	0	7.12230471512953	29.5602814085044	0	0	24.2990908826498	0	30.0060998114331	2.88084895161585	0	30.4256932958024	57.6079962891473	24.4014573698645	53.9134930318996	0	0.0059394470902575	0.00593944709027594	2.19062731948052	3.48631964641071	"upsig"	"upsig"	"upsig"	"upsig"
"1:94860001-94870000"	0	0	20.7437715037804	0	49.5885490658589	24.2183933988732	0	14.5954197091731	0	0	2.93865376597663	32.3457518988011	0	0	0	55.4451941732887	0	5.69784377210363	0	0	70.982485280529	86.8876583076567	0	134.313018203558	8.64254685484756	0	132.834124388991	21.6965180829256	5.74151938114459	72.1275109480819	103.163673890909	0.00877727103129965	0.00877727103133186	2.09973946315191	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:113420001-113430000"	26.6231409492402	23.623305001811	7.86832712212359	2.71502193126841	18.7632347816764	4.03639889981221	0	7.29770985458656	0	30.4389111116	19.8359129203423	2.81267407815662	2.89053451836577	57.5134016876562	4.32562372610381	12.0533030811497	4.4578079620908	57.6906681925492	4.70277204226207	5.4888812761155	46.6257501352495	108.977740928247	51.8035044725419	101.44919460056	36.0106118951982	435.914818170559	13.3576214469376	97.2602534751837	111.241938009676	209.096925677773	0	0.00966576546312979	0.009665765463167	2.58004841426807	2.77220555306445	"upsig"	"upsig"	"upsig"	"upsig"
"1:115530001-115540000"	43.8922053487473	0.694803088288559	23.6049813663708	42.0828399346603	6.70115527917013	11.4364635494679	4.34602532081272	30.6503813892636	0	9.68510808096363	0	28.1267407815662	34.6864142203892	35.5020998071952	0	31.3385880109892	0	7.12230471512953	41.6531238028926	308.749571781497	138.485436968875	22.8264187079437	39.3706633991318	35.0071164466719	51.1350688911814	1.35799008775875	22.2627024115627	26.9336086546662	67.462852728449	108.555546780446	65.3854271139563	0.00892390042752969	0.00892390042756241	2.05378836363946	1.97970750762142	"upsig"	"upsig"	"upsig"	"upsig"
"1:128400001-128410000"	47.4899270986446	0.694803088288559	24.3202838320184	0	8.04138633500416	28.2547922986854	2.89735021387515	13.1358777382558	1.80342016831501	0	6.61197097344743	0	2.16790088877433	15.6209239151659	21.6281186305191	51.8292032489437	17.8312318483632	22.7913750884145	0	97.4276426510501	0.695906718436559	19.1447382711786	9.66998750154115	7.85874042680391	24.4872160887348	133.762023644237	111.313512057814	95.7639418832578	151.432573677689	76.4988752479656	0	0.00596317652533636	0.00596317652535483	1.92689533699608	1.20951254845722	"upsig"	"upsig"	"upsig"	"upsig"
