	0	testset_label
A_Apc11.8m.nodup.q30	0.9684177500553759	cross-validation
A_Apc13.8m.nodup.q30	0.5350262144501364	cross-validation
A_Apc4.8m.nodup.q30	0.9828037083278945	cross-validation
A_Apc7.8m.nodup.q30	0.9906665182594435	cross-validation
A_Apc1.8m.nodup.q30	0.793124003929061	cross-validation
A_Apc5.8m.nodup.q30	0.9865260167910824	cross-validation
A_Ctrl8.8m.nodup.q30	0.024410638627617155	cross-validation
A_Ctrl10.8m.nodup.q30	0.23286525658633533	cross-validation
A_Ctrl11.8m.nodup.q30	0.0208016456149299	cross-validation
A_Ctrl2.8m.nodup.q30	0.05974107859326775	cross-validation
A_Apc10.8m.nodup.q30	0.8675586007121628	cross-validation
A_Ctrl18.8m.nodup.q30	0.09876873876777786	cross-validation
A_Ctrl4.8m.nodup.q30	0.13266210775006285	cross-validation
A_Apc12.8m.nodup.q30	0.9883102729665116	cross-validation
A_Ctrl6.8m.nodup.q30	0.1284023568619601	cross-validation
A_Ctrl7.8m.nodup.q30	0.05175258460079465	cross-validation
A_Apc2.8m.nodup.q30	0.8889129912927627	cross-validation
A_Ctrl1.8m.nodup.q30	0.08290451058869162	cross-validation
A_Ctrl14.8m.nodup.q30	0.04996362331506782	cross-validation
A_Apc6.8m.nodup.q30	0.9877576711133845	cross-validation
A_Apc8.8m.nodup.q30	0.9972504001979878	cross-validation
A_Ctrl5.8m.nodup.q30	0.20080179366191325	cross-validation
A_Ctrl13.8m.nodup.q30	0.16189984320068493	cross-validation
A_Ctrl3.8m.nodup.q30	0.19716636810012378	cross-validation
A_Ctrl9.8m.nodup.q30	0.06799833007515883	cross-validation
A_Apc9.8m.nodup.q30	0.9327379489119737	cross-validation
A_Ctrl16.8m.nodup.q30	0.018360788092059748	cross-validation
A_Ctrl17.8m.nodup.q30	0.12047580179773335	cross-validation
A_Apc3.8m.nodup.q30	0.410723748745624	cross-validation
A_Ctrl12.8m.nodup.q30	0.2540866482855131	cross-validation
A_Ctrl15.8m.nodup.q30	0.08929980508859808	cross-validation
