Region	DNase	HET	TSS	acetylations	bivalent promoters	enhancers	exon	others	polycomb repressed	promoters	quescient	transcribed and enhancer	transcription	weak enhancers	weak transcription	znf
chr9:37916058-37923835	0.0	0.0	0.0	0.0	0.0	18.001800180018	0.0	0.0	0.0	0.0	0.0	62.13192747846213	0.0	14.722900861514724	5.143371480005143	0.0
chr3:183969396-183977373	0.0	0.0	0.0	2.507208223642974	0.0	5.014416447285948	22.564874012786763	0.0	0.0	0.0	5.014416447285948	7.032719067318541	22.7654506706782	0.0	35.10091513100163	0.0
chr9:110620928-110626649	6.9917846530326875	0.0	0.0	23.230204509701103	0.0	6.9917846530326875	0.0	0.0	0.0	0.0	34.958923265163435	0.0	0.0	27.82730291907009	0.0	0.0
chr11:95087107-95088534	0.0	0.0	0.0	14.01541695865452	0.0	14.01541695865452	0.0	0.0	0.0	0.0	23.055360896986684	0.0	0.0	48.91380518570428	0.0	0.0
chr1:208056483-208061171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.92832764505119	17.064846416382252	0.0	36.00682593856656	0.0
chr8:5156663-5157431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr6:63000088-63001211	0.0	0.0	0.0	0.0	0.0	18.432769367764916	0.0	0.0	0.0	0.0	45.94835262689225	0.0	0.0	35.61887800534283	0.0	0.0
chr2:64054512-64056009	0.0	0.0	0.0	0.0	0.0	49.63259853039412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.36740146960588	0.0	0.0
chr18:23953821-23955928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0
chr16:20338697-20341682	0.0	20.100502512562816	0.0	0.0	0.0	6.700167504187604	0.0	0.0	6.700167504187604	0.0	53.09882747068677	0.0	0.0	13.400335008375208	0.0	0.0
chr20:16150362-16153333	0.0	20.19522046449007	0.0	0.0	0.0	0.0	0.0	26.69134971390104	0.0	0.0	53.11342982160888	0.0	0.0	0.0	0.0	0.0
chr2:157987602-157991004	0.0	0.0	0.0	9.288653733098178	0.0	0.0	0.0	0.0	20.16460905349794	0.0	23.515579071134628	0.0	0.0	47.031158142269256	0.0	0.0
chr22:45140817-45141020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.75369458128079	0.0	50.24630541871922	0.0	0.0	0.0
chr4:121188563-121188765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
chr1:184214431-184214628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr6:133256490-133256713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr3:124862654-124862851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr8:17737231-17737446	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:154926212-154926427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
chr15:41451495-41451738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr5:27172554-27172772	0.0	36.23853211009174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.76146788990825	0.0	0.0
chr11:71188663-71188940	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr18:33938137-33938412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr2:63231861-63232125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5151515151515151	0.0	0.0	98.48484848484848	0.0	0.0	0.0	0.0	0.0
chr13:73748980-73749251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.37269372693727	30.627306273062732
chr4:101102735-101103065	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:100405920-100406274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
chr10:129674035-129674365	0.0	0.0	0.0	8.787878787878787	0.0	0.0	0.0	0.0	0.0	0.0	91.21212121212122	0.0	0.0	0.0	0.0	0.0
chr17:80989929-80990267	0.0	0.0	0.0	0.0	0.0	21.005917159763314	0.0	0.0	78.99408284023669	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr5:18891156-18891483	0.0	58.71559633027523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.284403669724774	0.0	0.0	0.0	0.0	0.0
chr4:76103295-76103660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13:93684791-93685133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr16:59675757-59676134	0.0	53.05039787798409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.94960212201592	0.0	0.0	0.0	0.0	0.0
chr11:62366490-62366935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.9438202247191	0.0	55.0561797752809	0.0	0.0	0.0	0.0	0.0
chr14:93884544-93885130	0.0	0.0	0.0	47.098976109215016	0.0	0.0	0.0	0.0	34.129692832764505	0.0	18.771331058020476	0.0	0.0	0.0	0.0	0.0
chr3:148811776-148812136	0.0	65.83333333333333	0.0	0.0	0.0	0.0	0.0	34.166666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr9:29061010-29061434	0.0	0.0	0.0	0.0	0.0	45.28301886792453	0.0	0.0	0.0	0.0	54.71698113207547	0.0	0.0	0.0	0.0	0.0
chr1:239634480-239634963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr10:66241753-66242203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr4:157820875-157821392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr8:108626454-108626945	0.0	0.0	0.0	64.56211812627292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.437881873727086	0.0	0.0
chr7:125178889-125179456	0.0	45.326278659611994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.673721340388006	0.0	0.0	0.0	0.0	0.0
chr21:15826633-15827234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.73544093178037	41.26455906821963	0.0	0.0	0.0
chr6:73478587-73479356	0.0	0.0	0.0	0.0	0.0	0.0	11.703511053315994	0.0	0.0	0.0	0.0	0.0	62.288686605981795	0.0	26.007802340702213	0.0
chr1:26039273-26039908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr9:123166136-123166683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0
chr6:19693428-19694065	0.0	0.0	0.0	0.0	0.0	53.53218210361067	0.0	0.0	46.46781789638933	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr22:39591680-39592342	0.0	0.0	0.0	22.20543806646526	0.0	0.0	0.0	0.0	60.42296072507553	0.0	17.371601208459214	0.0	0.0	0.0	0.0	0.0
chr1:77549316-77549996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.08823529411765	0.0	0.0	0.0	11.911764705882351	0.0
chr1:89977996-89978749	0.0	0.0	0.0	79.6812749003984	0.0	14.342629482071715	0.0	0.0	0.0	0.0	5.9760956175298805	0.0	0.0	0.0	0.0	0.0
chr14:38428034-38428714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
chr2:197538668-197539466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0025062656641603	98.99749373433583	0.0	0.0	0.0
chr7:135151636-135152399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.78768020969856	26.212319790301443	0.0	0.0	0.0
chr2:110176644-110177491	0.0	0.0	0.0	21.133412042502954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.86658795749705	0.0
chr1:107951035-107951885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
chr10:60351831-60352670	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr5:166381352-166382347	0.0	40.20100502512563	0.0	0.0	0.0	15.27638190954774	0.0	4.321608040201005	0.0	0.0	40.20100502512563	0.0	0.0	0.0	0.0	0.0
chr18:70088980-70089976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.080321285140563	61.44578313253012	0.0	18.473895582329316	0.0
chr13:24107439-24108421	0.0	0.0	0.0	0.0	0.0	59.26680244399185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.73319755600815	0.0	0.0
chr7:12197164-12198146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0183299389002036	0.0	0.0	98.98167006109979	0.0	0.0
chr3:16850604-16851689	0.0	0.0	0.0	0.0	0.0	44.792626728110605	0.0	0.0	0.0	0.0	55.2073732718894	0.0	0.0	0.0	0.0	0.0
chr4:113707518-113708696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.58573853989813	4.4142614601018675	0.0	0.0	0.0
chr7:79353769-79354959	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:100372633-100373885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2747603833865817	0.0	64.77635782747603	31.948881789137378	0.0	0.0
chr18:64692575-64694529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.29375639713409	0.0	0.0	30.706243602865918	0.0	0.0
chr2:167766363-167768601	0.0	26.80965147453083	0.0	8.936550491510276	0.0	0.0	0.0	0.0	0.0	0.0	37.44414655942806	0.0	0.0	26.80965147453083	0.0	0.0
chr7:94985083-94987639	0.0	0.0	0.0	7.82472613458529	0.0	0.0	0.0	0.0	0.0	0.0	92.17527386541471	0.0	0.0	0.0	0.0	0.0
chr4:84585677-84588134	0.0	16.28001628001628	0.0	19.820919820919823	15.05901505901506	24.42002442002442	0.0	0.0	8.14000814000814	0.0	0.0	0.0	16.28001628001628	0.0	0.0	0.0
chr1:99514244-99517403	0.0	0.0	0.0	0.0	0.0	6.331117442228554	0.0	0.0	0.0	0.0	17.695473251028808	0.0	0.0	75.97340930674264	0.0	0.0
chr15:68076414-68076722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr7:21934453-21935279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr6:166732354-166733428	0.0	0.0	0.0	14.711359404096836	0.0	0.0	0.0	0.0	85.28864059590316	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr18:58522196-58523689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.187541862022776	0.0	13.395847287340926	8.10448760884126	38.31212324179504	0.0
chr16:10933603-10933788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
chr4:152418269-152418459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0
chr20:51368015-51368236	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr6:25032572-25032787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
chr1:59115885-59116101	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
