region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename
chr12:30770001-30780000	chr12	30770001	30780000	chr	qA2	1	
chr1:60390001-60400000	chr1	60390001	60400000	chr	qC2	1	
chr12:67280001-67290000	chr12	67280001	67290000	chr	qC2	1	
chr15:57200001-57210000	chr15	57200001	57210000	chr	qD1	1	
chr7:74400001-74410000	chr7	74400001	74410000	chr	qD1	2	Slco3a1,Gm7580
chr10:29290001-29300000	chr10	29290001	29300000	chr	qA4	1	Gm46218
chr4:38010001-38020000	chr4	38010001	38020000	chr	qA5	1	
chr1:26020001-26030000	chr1	26020001	26030000	chr	qA5	1	
chr9:58840001-58850000	chr9	58840001	58850000	chr	qB	1	Hcn4
chr15:70560001-70570000	chr15	70560001	70570000	chr	qD3	1	
chr4:77750001-77760000	chr4	77750001	77760000	chr	qC3	1	Ptprd
chr2:43690001-43700000	chr2	43690001	43700000	chr	qB	1	
chr5:22010001-22020000	chr5	22010001	22020000	chr	qA3	1	Reln
chr9:24090001-24100000	chr9	24090001	24100000	chr	qA3	2	Gm47670,Npsr1
chr13:77620001-77630000	chr13	77620001	77630000	chr	qC1	1	
chr6:25100001-25110000	chr6	25100001	25110000	chr	qA3.1	1	
chr11:57070001-57080000	chr11	57070001	57080000	chr	qB1.3	1	Gria1
chr18:40170001-40180000	chr18	40170001	40180000	chr	qB3	1	
chr9:9960001-9970000	chr9	9960001	9970000	chr	qA1	1	Cntn5
chr15:70030001-70040000	chr15	70030001	70040000	chr	qD3	1	Gm19782
chr7:5360001-5370000	chr7	5360001	5370000	chr	qA1	1	Lgalsl2
chr10:29010001-29020000	chr10	29010001	29020000	chr	qA4	1	
chr13:3860001-3870000	chr13	3860001	3870000	chr	qA1	1	
chr13:31620001-31630000	chr13	31620001	31630000	chr	qA3.2	4	Gm11378,Foxf2,1700018A04Rik
chr11:6480001-6490000	chr11	6480001	6490000	chr	qA1	1	Gm11973
chr8:14120001-14130000	chr8	14120001	14130000	chr	qA1.1	1	Dlgap2
chr11:77250001-77260000	chr11	77250001	77260000	chr	qB5	1	Ssh2
chr12:17060001-17070000	chr12	17060001	17070000	chr	qA1.1	1	Gm48538
chr11:33950001-33960000	chr11	33950001	33960000	chr	qA4	1	Kcnip1
chr17:52570001-52580000	chr17	52570001	52580000	chr	qC	1	
chr11:30130001-30140000	chr11	30130001	30140000	chr	qA3.3	1	Sptbn1
chr4:43160001-43170000	chr4	43160001	43170000	chr	qA5	1	Unc13b
chr3:49610001-49620000	chr3	49610001	49620000	chr	qC	1	
chr9:93820001-93830000	chr9	93820001	93830000	chr	qE3.3	1	
chr7:13160001-13170000	chr7	13160001	13170000	chr	qA1	1	Vmn1r88
chr11:18850001-18860000	chr11	18850001	18860000	chr	qA3.1	1	8430419K02Rik
chr11:32460001-32470000	chr11	32460001	32470000	chr	qA4	1	Ubtd2
chr10:14300001-14310000	chr10	14300001	14310000	chr	qA2	1	Gm40603
chr1:76030001-76040000	chr1	76030001	76040000	chr	qC4	1	
chr11:114890001-114900000	chr11	114890001	114900000	chr	qE2	1	Cd300a
