region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename	transcriptClass	geneType
chr2:168870000-168970000	chr2	168870000	168970000	2q	q24.3	3	SPC25,G6PC2,ABCB11	coding,nonCoding	protein_coding
chr3:34450000-34510000	chr3	34450000	34510000	3p	p22.3			nonCoding	lncRNA
chr6:79940000-80030000	chr6	79940000	80030000	6q	q14.1	2	ELOVL4,TTK	coding,nonCoding	protein_coding
chr10:22180000-22240000	chr10	22180000	22240000	10p	p12.31	1	EBLN1	coding	protein_coding
chr14:52510000-52730000	chr14	52510000	52730000	14q	q22.1	4	GPR137C,ERO1A,PSMC6,TXNDC16	coding,nonCoding	protein_coding
chr8:100960000-101340000	chr8	100960000	101340000	8q	q22.3	6	RN7SKP249,ZNF706,RNU7-67P,ZNNT1,LINC03044,LINC02844	nonCoding,coding	misc_RNA,protein_coding,snRNA,lncRNA
chr7:112380000-112460000	chr7	112380000	112460000	7q	q31.1	1	IFRD1	coding,nonCoding	protein_coding,lncRNA
chr1:112310000-112510000	chr1	112310000	112510000	1p	p13.2	4	WNT2B,LINC02884,MIR4256,CTTNBP2NL	coding,nonCoding	protein_coding,lncRNA,miRNA
chr5:11580000-11690000	chr5	11580000	11690000	5p	p15.2	1	CTNND2	coding,nonCoding	protein_coding
chr21:42180000-42210000	chr21	42180000	42210000	21q	q22.3	1	ABCG1	coding,nonCoding	protein_coding
chr1:68480000-68500000	chr1	68480000	68500000	1p	p31.3	2	DEPDC1-AS1,DEPDC1	nonCoding,coding	lncRNA,protein_coding
chr10:92620000-92680000	chr10	92620000	92680000	10q	q23.33	2	KIF11,RN7SL644P	coding,nonCoding	protein_coding,misc_RNA
chr16:5750000-5830000	chr16	5750000	5830000	16p	p13.3	1	RBFOX1	coding,nonCoding	protein_coding
chr7:50030000-50130000	chr7	50030000	50130000	7p	p12.2	1	ZPBP	coding	protein_coding
chr2:214690000-214860000	chr2	214690000	214860000	2q	q35	3	BARD1,SNORA70I,SNHG31	coding,nonCoding	protein_coding,snoRNA,lncRNA
chr5:18010000-18060000	chr5	18010000	18060000	5p	p15.1				
chr14:81590000-81790000	chr14	81590000	81790000	14q	q31.1	2	LINC02311,LINC01467	nonCoding	lncRNA
chr7:27620000-27980000	chr7	27620000	27980000	7p	p15.2	4	HIBADH,JAZF1,TAX1BP1-AS1,TAX1BP1	coding,nonCoding	protein_coding,lncRNA
chr1:160730000-160780000	chr1	160730000	160780000	1q	q23.3	1	SLAMF7	coding,nonCoding	protein_coding
chr4:94180000-94290000	chr4	94180000	94290000	4q	q22.2	2	SMARCAD1,SMARCAD1-DT	coding,nonCoding	protein_coding,lncRNA
chr6:116530000-116640000	chr6	116530000	116640000	6q	q22.1	1	ZUP1	coding	protein_coding
chr20:29870000-29900000	chr20	29870000	29900000	centromere	q11.1	1	RNA5SP532	nonCoding	rRNA
chr8:28300000-29300000	chr8	28300000	29300000	8p	p21.1	11	HMBOX1,FZD3,PNOC,INTS9,KIF13B,ZNF395,FBXO16,RNU6-178P,EXTL3,EXTL3-AS1,MIR4288	nonCoding,coding	lncRNA,protein_coding,snRNA,miRNA
chr18:51770000-51910000	chr18	51770000	51910000	18q	q21.2				
chr2:167840000-168480000	chr2	167840000	168480000	2q	q24.3	5	RN7SL813P,B3GALT1-AS1,STK39,B3GALT1,CERS6	nonCoding,coding	misc_RNA,lncRNA,protein_coding
chr14:30530000-30610000	chr14	30530000	30610000	14q	q12			coding,nonCoding	protein_coding,lncRNA
chr6:138080000-138130000	chr6	138080000	138130000	6q	q23.3	1	PERP	coding	protein_coding
chr1:207260000-207420000	chr1	207260000	207420000	1q	q32.2	2	CD55,LINC02942	coding,nonCoding	protein_coding,lncRNA
chr7:153040000-153310000	chr7	153040000	153310000	7q	q36.2				
chr13:92710000-92740000	chr13	92710000	92740000	13q	q31.3	2	GPC5-AS1,GPC5	nonCoding,coding	lncRNA,protein_coding
chr15:90410000-90450000	chr15	90410000	90450000	15q	q26.1	1	IQGAP1	coding,nonCoding	protein_coding
chr9:30330000-30540000	chr9	30330000	30540000	9p	p21.1	1	LINC01242	nonCoding	lncRNA
chr6:116520000-116620000	chr6	116520000	116620000	6q	q22.1	5	TRAPPC3L,CALHM4,CALHM5,RSPH4A,RWDD1	coding	protein_coding
chr2:111970000-112270000	chr2	111970000	112270000	2q	q13	4	FBLN7,TMEM87B,ZC3H8,MERTK	coding,nonCoding	protein_coding
chr9:120960000-121100000	chr9	120960000	121100000	9q	q33.2	2	CNTRL,C5	coding,nonCoding	protein_coding
chr10:114790000-114970000	chr10	114790000	114970000	10q	q25.3	3	RNU6-1121P,FHIP2A,TRUB1	nonCoding,coding	snRNA,protein_coding
chr12:9800000-9940000	chr12	9800000	9940000	12p	p13.31			coding,nonCoding	protein_coding,lncRNA
chr2:160940000-161270000	chr2	160940000	161270000	2q	q24.2	4	TANK,LINC01806,PSMD14-DT,TANK-AS1	coding,nonCoding	protein_coding,lncRNA
chr10:3540000-3680000	chr10	3540000	3680000	10p	p15.2				
chr10:110160000-110200000	chr10	110160000	110200000	10q	q25.2				
chr1:200140000-200180000	chr1	200140000	200180000	1q	q32.1	1	NR5A2	coding	protein_coding
chr5:160360000-160490000	chr5	160360000	160490000	5q	q33.3			coding,nonCoding	protein_coding,miRNA,lncRNA
chr4:122160000-122300000	chr4	122160000	122300000	4q	q27	1	BLTP1	coding,nonCoding	protein_coding
chr1:39700000-39740000	chr1	39700000	39740000	1p	p34.2	2	RNU7-121P,PPIE	nonCoding,coding	snRNA,protein_coding
chr14:51800000-52260000	chr14	51800000	52260000	14q	q22.1	4	GNG2,LINC02319,NID2,RTRAF	coding,nonCoding	protein_coding,lncRNA
chr9:25340000-25410000	chr9	25340000	25410000	9p	p21.3				
chr13:19120000-19190000	chr13	19120000	19190000	13q	q12.11	1	TUBA3C	coding	protein_coding
chr4:159380000-159410000	chr4	159380000	159410000	4q	q32.1				
chr4:126660000-126760000	chr4	126660000	126760000	4q	q28.1				
chr1:198070000-198140000	chr1	198070000	198140000	1q	q31.3				
chr17:6830000-6860000	chr17	6830000	6860000	17p	p13.1	2	ALOX12P2,TEKT1	nonCoding,coding	lncRNA,protein_coding
chr13:68150000-68340000	chr13	68150000	68340000	13q	q21.33				
chr21:39840000-39970000	chr21	39840000	39970000	21q	q22.2	1	PCP4	coding	protein_coding
chr4:181190000-181310000	chr4	181190000	181310000	4q	q34.3	1	LINC02500	nonCoding	lncRNA
chr5:54970000-55050000	chr5	54970000	55050000	5q	q11.2	2	ESM1,GZMK	coding,nonCoding	protein_coding
chr2:134280000-134630000	chr2	134280000	134630000	2q	q21.2	2	TMEM163,MGAT5	coding,nonCoding	protein_coding
chr3:120320000-120370000	chr3	120320000	120370000	3q	q13.33	1	LRRC58	coding	protein_coding
chr10:89600000-89780000	chr10	89600000	89780000	10q	q23.31	3	KIF20B,PANK1-AS1,PANK1	coding,nonCoding	protein_coding,lncRNA
chr2:96620000-96760000	chr2	96620000	96760000	2q	q11.2	3	LMAN2L,FER1L5,KANSL3	coding,nonCoding	protein_coding
chr2:174190000-174270000	chr2	174190000	174270000	2q	q31.1			nonCoding,coding	misc_RNA,protein_coding
chr1:221500000-221940000	chr1	221500000	221940000	1q	q41	4	DUSP10,RNU6-403P,LINC01655,LINC02257	coding,nonCoding	protein_coding,snRNA,lncRNA
chr17:11590000-11820000	chr17	11590000	11820000	17p	p12	1	DNAH9	coding,nonCoding	protein_coding
chr21:33950000-34100000	chr21	33950000	34100000	21q	q22.11	3	SLC5A3,MRPS6,LINC00649	coding,nonCoding	protein_coding,lncRNA
chr5:95480000-96050000	chr5	95480000	96050000	5q	q15	10	GPR150,SPATA9,RFESD,RHOBTB3,RNU6-308P,GLRX,SKIC3,ELL2,ARSK,LINC01554	coding,nonCoding	protein_coding,snRNA,lncRNA
chr14:55360000-55640000	chr14	55360000	55640000	14q	q22.3	5	FBXO34,KTN1-AS1,ATG14,KTN1,TBPL2	coding,nonCoding	protein_coding,lncRNA
chr6:135190000-135900000	chr6	135190000	135900000	6q	q23.3	6	LINC02524,PDE7B,MYB,AHI1,AHI1-DT,MIR548A2	nonCoding,coding	lncRNA,protein_coding,miRNA
chr20:37980000-38130000	chr20	37980000	38130000	20q	q11.23	4	TGM2,TTI1,RN7SL237P,RPRD1B	coding,nonCoding	protein_coding,misc_RNA
chr21:40750000-40800000	chr21	40750000	40800000	21q	q22.2	1	DSCAM	coding	protein_coding
chr3:27280000-27930000	chr3	27280000	27930000	3p	p24.1	7	LINC01980,NEK10,LINC01981,EOMES,RNU1-96P,LINC02084,SLC4A7	nonCoding,coding	lncRNA,protein_coding,snRNA
