chr	start	end	chrlocation	Type	Symbol	Name	ID	URL	Locus type	status
chr1	0	27600000	1p36	gene	FRA1A	fragile site, aphidicolin type, common, fra(1)(p36)	HGNC:3868	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3868	Fragile site	Approved
chr1	50200000	60800000	1p32	gene	FRA1B	fragile site, aphidicolin type, common, fra(1)(p32)	HGNC:3869	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3869	Fragile site	Approved
chr1	84400000	94300000	1p22	gene	FRA1D	fragile site, aphidicolin type, common, fra(1)(p22)	HGNC:3871	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3871	Fragile site	Approved
chr1	143200000	155100000	1q21	gene	FRA1F	fragile site, aphidicolin type, common, fra(1)(q21)	HGNC:3873	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3873	Fragile site	Approved
chr1	243500000	248956422	1q44	gene	FRA1I	fragile site, aphidicolin type, common, fra(1)(q44)	HGNC:3876	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3876	Fragile site	Approved
chr1	185800000	198700000	1q31	gene	FRA1K	fragile site, aphidicolin type, common, fra(1)(q31)	HGNC:3878	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3878	Fragile site	Approved
chr1	60800000	84400000	1p31	gene	FRA1L	fragile site, aphidicolin type, common, fra(1)(p31)	HGNC:3879	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3879	Fragile site	Approved
chr2	68400000	74800000	2p13	gene	FRA2E	fragile site, aphidicolin type, common, fra(2)(p13)	HGNC:3889	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3889	Fragile site	Approved
chr2	168900000	182100000	2q31	gene	FRA2G	fragile site, aphidicolin type, common, fra(2)(q31)	HGNC:3891	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3891	Fragile site	Approved
chr2	196600000	208200000	2q33	gene	FRA2I	fragile site, aphidicolin type, common, fra(2)(q33)	HGNC:3893	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3893	Fragile site	Approved
chr3	183000000	188200000	3q27	gene	FRA3C	fragile site, aphidicolin type, common, fra(3)(q27)	HGNC:3898	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3898	Fragile site	Approved
chr3	149200000	161000000	3q25	gene	FRA3D	fragile site, aphidicolin type, common, fra(3)(q25)	HGNC:3899	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3899	Fragile site	Approved
chr4	51800000	58500000	4q12	gene	FRA4B	fragile site, BrdU type, common, fra(4)(q12)	HGNC:3901	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3901	Fragile site	Approved
chr4	11300000	35800000	4p15	gene	FRA4D	fragile site, aphidicolin type, common, fra(4)(p15)	HGNC:3903	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3903	Fragile site	Approved
chr5	28900000	42500000	5p13	gene	FRA5A	fragile site, BrdU type, common, fra(5)(p13)	HGNC:3905	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3905	Fragile site	Approved
chr5	93000000	98900000	5q15	gene	FRA5B	fragile site, BrdU type, common, fra(5)(q15)	HGNC:3906	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3906	Fragile site	Approved
chr5	93000000	98900000	5q15	gene	FRA5D	fragile site, aphidicolin type, common, fra(5)(q15)	HGNC:3908	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3908	Fragile site	Approved
chr5	18400000	28900000	5p14	gene	FRA5E	fragile site, aphidicolin type, common, fra(5)(p14)	HGNC:3909	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3909	Fragile site	Approved
chr5	98900000	110200000	5q21	gene	FRA5F	fragile site, aphidicolin type, common, fra(5)(q21)	HGNC:3910	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3910	Fragile site	Approved
chr6	69200000	75200000	6q13	gene	FRA6D	fragile site, BrdU type, common, fra(6)(q13)	HGNC:3915	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3915	Fragile site	Approved
chr6	160600000	164100000	6q26	gene	FRA6E	fragile site, aphidicolin type, common, fra(6)(q26)	HGNC:3916	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3916	Fragile site	Approved
chr6	105000000	114200000	6q21	gene	FRA6F	fragile site, aphidicolin type, common, fra(6)(q21)	HGNC:3917	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3917	Fragile site	Approved
chr6	87300000	92500000	6q15	gene	FRA6G	fragile site, aphidicolin type, common, fra(6)(q15)	HGNC:3918	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3918	Fragile site	Approved
chr7	0	7200000	7p22	gene	FRA7B	fragile site, aphidicolin type, common, fra(7)(p22)	HGNC:3920	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3920	Fragile site	Approved
chr7	43300000	45400000	7p13	gene	FRA7D	fragile site, aphidicolin type, common, fra(7)(p13)	HGNC:3922	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3922	Fragile site	Approved
chr7	98400000	107800000	7q22	gene	FRA7F	fragile site, aphidicolin type, common, fra(7)(q22)	HGNC:3924	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3924	Fragile site	Approved
chr7	148200000	159345973	7q36	gene	FRA7I	fragile site, aphidicolin type, common, fra(7)(q36)	HGNC:3927	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3927	Fragile site	Approved
chr7	60100000	77900000	7q11	gene	FRA7J	fragile site, aphidicolin type, common, fra(7)(q11)	HGNC:3928	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3928	Fragile site	Approved
chr9	19900000	33200000	9p21	gene	FRA9C	fragile site, BrdU type, common, fra(9)(p21)	HGNC:3937	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3937	Fragile site	Approved
chr9	112100000	114900000	9q32	gene	FRA9E	fragile site, aphidicolin type, common, fra(9)(q32)	HGNC:3939	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3939	Fragile site	Approved
chr10	51100000	68800000	10q21	gene	FRA10C	fragile site, BrdU type, common, fra(10)(q21)	HGNC:3831	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3831	Fragile site	Approved
chr11	31000000	36400000	11p13	gene	FRA11E	fragile site, aphidicolin type, common, fra(11)(p13)	HGNC:3840	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3840	Fragile site	Approved
chr11	63600000	77400000	11q13	gene	FRA11H	fragile site, aphidicolin type, common, fra(11)(q13)	HGNC:3843	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3843	Fragile site	Approved
chr12	108600000	133275309	12q24	gene	FRA12E	fragile site, aphidicolin type, common, fra(12)(q24)	HGNC:3849	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3849	Fragile site	Approved
chr13	54700000	72800000	13q21	gene	FRA13B	fragile site, BrdU type, common, fra(13)(q21)	HGNC:3851	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3851	Fragile site	Approved
chr13	94400000	101100000	13q32	gene	FRA13D	fragile site, aphidicolin type, common, fra(13)(q32)	HGNC:3853	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3853	Fragile site	Approved
chr14	57600000	67400000	14q23	gene	FRA14B	fragile site, aphidicolin type, common, fra(14)(q23)	HGNC:3854	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3854	Fragile site	Approved
chr15	58800000	67200000	15q22	gene	FRA15A	fragile site, aphidicolin type, common, fra(15)(q22)	HGNC:3856	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3856	Fragile site	Approved
chr1	68500000	69300000	1p31.2	gene	FRA1C	fragile site, aphidicolin type, common, fra(1)(p31.2)	HGNC:3870	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3870	Fragile site	Approved
chr1	99300000	101800000	1p21.2	gene	FRA1E	fragile site, aphidicolin type, common, fra(1)(p21.2)	HGNC:3872	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3872	Fragile site	Approved
chr1	173000000	176100000	1q25.1	gene	FRA1G	fragile site, aphidicolin type, common, fra(1)(q25.1)	HGNC:3874	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3874	Fragile site	Approved
chr1	223900000	236400000	1q42	gene	FRA1H	fragile site, 5-azacytidine type, common, fra(1)(q42)	HGNC:3875	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3875	Fragile site	Approved
chr1	125100000	143200000	1q12	gene	FRA1J	fragile site, 5-azacytidine type, common, fra(1)(q12)	HGNC:3877	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3877	Fragile site	Approved
chr2	108700000	112200000	2q13	gene	FRA2B	fragile site, folic acid type, rare, fra(2)(q13)	HGNC:3886	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3886	Fragile site	Approved
chr2	16500000	19000000	2p24.2	gene	FRA2C	fragile site, aphidicolin type, common, fra(2)(p24.2)	HGNC:3887	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3887	Fragile site	Approved
chr2	52600000	54700000	2p16.2	gene	FRA2D	fragile site, aphidicolin type, common, fra(2)(p16.2)	HGNC:3888	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3888	Fragile site	Approved
chr2	134300000	136100000	2q21.3	gene	FRA2F	fragile site, aphidicolin type, common, fra(2)(q21.3)	HGNC:3890	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3890	Fragile site	Approved
chr2	182100000	188500000	2q32.1	gene	FRA2H	fragile site, aphidicolin type, common, fra(2)(q32.1)	HGNC:3892	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3892	Fragile site	Approved
chr2	236400000	242193529	2q37.3	gene	FRA2J	fragile site, aphidicolin type, common, fra(2)(q37.3)	HGNC:3894	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3894	Fragile site	Approved
chr3	23800000	26300000	3p24.2	gene	FRA3A	fragile site, aphidicolin type, common, fra(3)(p24.2)	HGNC:3896	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3896	Fragile site	Approved
chr3	58600000	63800000	3p14.2	gene	FRA3B	fragile site, aphidicolin type, common, fra(3)(p14.2)	HGNC:3897	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3897	Fragile site	Approved
chr4	6000000	11300000	4p16.1	gene	FRA4A	fragile site, aphidicolin type, common, fra(4)(p16.1)	HGNC:3900	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:3900	Fragile site	Approved
