Region	0_GapArtf1	1_GapArtf2	2_GapArtf3	3_Quies1	4_Quies2	5_Quies3	6_Quies4	7_Quies5	8_HET1	9_HET2	10_HET3	11_HET4	12_HET5	13_HET6	14_HET7	15_HET8	16_HET9	17_ReprPC1	18_ReprPC2	19_ReprPC3	20_ReprPC4	21_ReprPC5	22_ReprPC6	23_ReprPC7	24_ReprPC8	25_ReprPC9	26_Acet1	27_Acet2	28_Acet3	29_Acet4	30_Acet5	31_Acet6	32_Acet7	33_Acet8	34_EnhWk1	35_EnhWk2	36_EnhWk3	37_EnhWk4	38_EnhWk5	39_EnhWk6	40_EnhWk7	41_EnhWk8	42_EnhA1	43_EnhA2	44_EnhA3	45_EnhA4	46_EnhA5	47_EnhA6	48_EnhA7	49_EnhA8	50_EnhA9	51_EnhA10	52_EnhA11	53_EnhA12	54_EnhA13	55_EnhA14	56_EnhA15	57_EnhA16	58_EnhA17	59_EnhA18	60_EnhA19	61_EnhA20	62_TxEnh1	63_TxEnh2	64_TxEnh3	65_TxEnh4	66_TxEnh5	67_TxEnh6	68_TxEnh7	69_TxEnh8	70_TxWk1	71_TxWk2	72_Tx1	73_Tx2	74_Tx3	75_Tx4	76_Tx5	77_Tx6	78_Tx7	79_Tx8	80_TxEx1	81_TxEx2	82_TxEx3	83_TxEx4	84_znf1	85_znf2	86_DNase1	87_BivProm1	88_BivProm2	89_BivProm3	90_BivProm4	91_PromF1	92_PromF2	93_PromF3	94_PromF4	95_PromF5	96_PromF6	97_PromF7	98_TSS1	99_TSS2
chr21:41120000-41210000	0.0	0.0	0.0	0.0	0.0	6.666666666666667	0.8888888888888888	0.0	0.0	2.666666666666667	2.2222222222222223	0.6666666666666667	0.0	0.0	0.4444444444444444	1.5555555555555556	0.0	0.0	0.6666666666666667	3.3333333333333335	7.414444444444444	2.666666666666667	7.777777777777778	1.3333333333333335	0.0	0.8888888888888888	1.1111111111111112	0.2222222222222222	0.4444444444444444	0.0	0.0	0.0	0.0	0.0	0.4444444444444444	0.2222222222222222	1.7777777777777777	1.1111111111111112	0.0	0.0	0.0	0.0	0.4444444444444444	1.7777777777777777	0.0	0.0	1.5555555555555556	0.4444444444444444	0.0	0.0	0.0	0.0	0.0	2.0	0.2222222222222222	0.2222222222222222	1.5555555555555556	0.0	1.1111111111111112	0.0	0.0	0.0	1.1111111111111112	0.0	0.0	0.0	0.2222222222222222	0.0	0.2222222222222222	0.0	0.0	0.4444444444444444	0.0	22.585555555555555	13.111111111111112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2222222222222223	0.0	0.8888888888888888	0.0	0.0	0.4444444444444444	2.4444444444444446	0.0	0.0	0.0	0.0	1.7777777777777777	0.0	0.0	0.2222222222222222	0.4444444444444444
chr11:34080000-34150000	0.0	0.0	0.0	0.0	0.0	0.8571428571428572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.8571428571428572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8571428571428572	0.2857142857142857	1.1428571428571428	0.7814285714285715	0.2857142857142857	0.0	0.0	2.0	0.0	0.2857142857142857	0.0	0.0	1.1428571428571428	2.932857142857143	6.571428571428571	20.857142857142858	1.1428571428571428	12.571428571428573	38.0	5.714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.8571428571428572	0.8571428571428572	0.0	0.8571428571428572	0.2857142857142857	0.2857142857142857	0.0
chr4:105160000-105290000	0.0	0.0	0.0	0.0	0.0	6.0	0.3076923076923077	0.0	0.0	0.0	1.8461538461538463	0.15384615384615385	0.15384615384615385	0.3076923076923077	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.494615384615385	0.2746153846153846	0.15384615384615385	0.15384615384615385	0.0	0.0	0.15384615384615385	0.3076923076923077	0.0	1.0769230769230769	0.0	0.15384615384615385	0.0	0.0	0.0	0.0	0.0	0.0	0.15384615384615385	0.15384615384615385	0.46153846153846156	1.6923076923076923	0.3076923076923077	0.0	0.0	0.15384615384615385	1.3846153846153846	0.46153846153846156	0.0	0.15384615384615385	0.0	0.0	0.0	0.7692307692307693	0.0	0.0	0.6153846153846154	1.8461538461538463	0.7692307692307693	0.3076923076923077	0.3076923076923077	0.7692307692307693	0.0	0.3076923076923077	0.46153846153846156	13.230769230769232	0.3076923076923077	4.0	30.153846153846153	2.769230769230769	0.7692307692307693	3.076923076923077	7.384615384615385	1.5384615384615385	4.615384615384616	0.0	1.6923076923076923	2.307692307692308	0.0	3.230769230769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr16:5750000-5830000	0.5	0.0	0.0	19.0	48.5	0.75	1.5	0.0	14.499999999999998	3.0	0.25	0.5	0.0	2.25	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:17210000-17350000	0.0	0.0	0.0	0.0	0.0	5.428571428571429	1.4285714285714286	0.14285714285714285	0.0	0.0	1.0	0.4285714285714286	0.7142857142857143	0.14285714285714285	1.1428571428571428	2.571428571428571	0.0	0.0	0.0	2.857142857142857	7.428571428571429	12.142857142857142	16.857142857142858	5.428571428571429	0.14285714285714285	0.0	0.0	0.4285714285714286	0.5035714285714286	3.0	0.4285714285714286	0.2857142857142857	1.0	0.8571428571428572	0.2857142857142857	0.0	0.0	0.14285714285714285	0.7142857142857143	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.7142857142857143	0.14285714285714285	0.0	4.285714285714286	0.0	0.0	0.14285714285714285	4.571428571428571	9.428571428571429	4.571428571428571	0.7142857142857143	0.7142857142857143	0.4285714285714286	0.0	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8571428571428568	0.7821428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.2857142857142856	0.0	1.1428571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1:68480000-68500000	0.0	0.0	0.0	0.0	0.0	4.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0	0.0	6.0	6.0	0.0	15.0	0.0	28.585	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	4.0	2.0	1.0
chr14:30570000-30620000	0.0	0.0	0.0	0.0	0.0	2.8000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.4	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1.5879999999999999	0.4	0.0	0.0	0.0	1.2	2.0	12.8	0.0	22.0	1.2	0.0	12.4	2.8000000000000003	20.8	6.800000000000001	3.2	0.4	2.8000000000000003	0.8	0.0	3.5999999999999996	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr14:93730000-93940000	0.0	0.0	0.0	1.3333333333333335	0.8571428571428572	5.714285714285714	1.5238095238095237	0.0	0.2857142857142857	5.809523809523809	1.5238095238095237	0.4761904761904762	0.0	0.7619047619047619	2.2857142857142856	1.7142857142857144	0.09523809523809523	0.19047619047619047	1.1428571428571428	3.1428571428571432	14.000000000000002	3.1428571428571432	13.238095238095237	6.095238095238095	0.0	0.2857142857142857	0.4761904761904762	0.6666666666666667	0.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.09523809523809523	3.1428571428571432	4.571428571428571	2.857142857142857	0.0	0.0	0.0	0.4761904761904762	0.0	0.4761904761904762	0.0	0.0	0.0	9.168571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.19047619047619047	2.4761904761904763	0.19047619047619047	0.7619047619047619	0.38095238095238093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8571428571428572	5.333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4761904761904762	0.6666666666666667	0.6666666666666667	1.1428571428571428	0.0	0.16476190476190478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19047619047619047
chr2:173930000-173940000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.28	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.72	2.0	0.0	14.000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr16:86010000-86150000	0.0	0.0	0.0	0.0	0.0	5.285714285714286	0.14285714285714285	0.0	0.0	2.857142857142857	0.5714285714285714	0.7142857142857143	1.4285714285714286	0.14285714285714285	0.4285714285714286	2.7142857142857144	0.0	0.0	0.7142857142857143	6.428571428571428	13.852857142857141	16.29	17.42857142857143	7.7142857142857135	0.5714285714285714	0.2857142857142857	1.0	1.1428571428571428	0.7142857142857143	2.857142857142857	0.8571428571428572	0.0	0.0	0.0	0.0	1.2857142857142856	1.1428571428571428	1.0	0.0	0.0	1.4285714285714286	0.4285714285714286	0.0	0.0	0.0	0.0	0.0	0.0	3.2857142857142856	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.8571428571428572	1.7142857142857144	0.14285714285714285	0.0	0.2857142857142857	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8571428571428572	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
