Region	DNase	HET	TSS	acetylations	bivalent promoters	enhancers	exon	others	polycomb repressed	promoters	quescient	transcribed and enhancer	transcription	weak enhancers	weak transcription	znf
chr21:41120000-41210000	0.8888888888888888	7.555555555555555	0.6666666666666667	1.7777777777777777	2.888888888888889	9.333333333333334	0.0	0.0	24.081111111111113	1.7777777777777777	7.555555555555555	1.5555555555555556	35.696666666666665	3.5555555555555554	0.4444444444444444	2.2222222222222223
chr11:34080000-34150000	0.0	0.0	0.2857142857142857	0.0	0.0	1.1428571428571428	56.285714285714285	0.0	0.0	3.1428571428571432	0.8571428571428572	3.3528571428571428	32.932857142857145	0.0	2.0	0.0
chr4:105160000-105290000	0.0	2.769230769230769	0.0	1.0438461538461539	0.0	6.3076923076923075	4.0	0.0	2.494615384615385	0.0	6.3076923076923075	4.769230769230769	54.307692307692314	1.2307692307692308	13.538461538461538	3.230769230769231
chr16:5750000-5830000	0.0	21.5	0.0	0.5	0.0	3.5000000000000004	0.0	0.5	0.0	0.0	69.75	0.0	0.0	4.25	0.0	0.0
chr1:17210000-17350000	1.0	6.0	0.0	6.503571428571428	1.2857142857142856	26.285714285714285	0.0	0.0	44.857142857142854	1.1428571428571428	7.000000000000001	0.0	0.0	1.2857142857142856	4.639285714285714	0.0
chr1:68480000-68500000	0.0	0.0	3.0	3.0	0.0	3.0	0.0	0.0	1.0	9.0	4.415	4.0	56.584999999999994	0.0	15.0	1.0
chr14:30570000-30620000	0.4	0.0	0.0	0.0	0.0	0.41200000000000003	4.0	0.0	0.0	0.0	2.8000000000000003	5.988	69.19999999999999	0.8	12.8	3.5999999999999996
chr14:93730000-93940000	0.4761904761904762	12.95238095238095	0.19047619047619047	1.8095238095238095	2.4761904761904763	13.93047619047619	0.0	0.0	41.23809523809524	0.16476190476190478	9.428571428571429	0.0	0.0	11.142857142857142	6.190476190476191	0.0
chr2:173930000-173940000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.28	68.72	0.0	0.0	0.0
chr16:86010000-86150000	0.8571428571428572	8.857142857142856	0.0	6.571428571428571	3.0	6.714285714285714	0.0	0.0	63.28571428571429	0.0	5.428571428571429	0.0	0.0	5.285714285714286	0.0	0.0
chr8:114670000-114710000	0.0	3.5000000000000004	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	85.5	0.0	0.0	10.5	0.0	0.0
chr9:2780000-2880000	1.4000000000000001	0.2	0.6	1.7999999999999998	0.2	3.8	6.0	0.0	21.2	3.4000000000000004	7.199999999999999	12.0	33.0	2.1999999999999997	3.4000000000000004	3.5999999999999996
chr8:119720000-119840000	0.16666666666666669	0.16666666666666669	0.0	0.0	0.0	2.3333333333333335	6.166666666666667	0.0	0.0	1.8333333333333333	3.833333333333333	2.666666666666667	59.03333333333334	2.3	20.833333333333336	0.6666666666666667
