region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename	transcriptClass	geneType
chr21:41120000-41210000	chr21	41120000	41210000	21q	q22.2	4	MIR3197,BACE2,PLAC4,LINC00323	nonCoding,coding	miRNA,protein_coding,lncRNA
chr11:34080000-34150000	chr11	34080000	34150000	11p	p13	2	CAPRIN1,NAT10	coding	protein_coding
chr4:105160000-105290000	chr4	105160000	105290000	4q	q24	2	TET2,TET2-AS1	coding,nonCoding	protein_coding,lncRNA
chr16:5750000-5830000	chr16	5750000	5830000	16p	p13.3	1	RBFOX1	coding,nonCoding	protein_coding
chr1:17210000-17350000	chr1	17210000	17350000	1p	p36.13	4	PADI1,PADI4,PADI3,MIR3972	coding,nonCoding	protein_coding,miRNA
chr1:68480000-68500000	chr1	68480000	68500000	1p	p31.3	2	DEPDC1-AS1,DEPDC1	nonCoding,coding	lncRNA,protein_coding
chr14:30570000-30620000	chr14	30570000	30620000	14q	q12	2	G2E3-AS1,G2E3	nonCoding,coding	lncRNA,protein_coding
chr14:93730000-93940000	chr14	93730000	93940000	14q	q32.12	4	ASB2,PRIMA1,FAM181A,FAM181A-AS1	coding,nonCoding	protein_coding,lncRNA
chr2:173930000-173940000	chr2	173930000	173940000	2q	q31.1	1	SP3	coding,nonCoding	protein_coding
chr16:86010000-86150000	chr16	86010000	86150000	16q	q24.1				
chr8:114670000-114710000	chr8	114670000	114710000	8q	q23.3				
chr9:2780000-2880000	chr9	2780000	2880000	9p	p24.2	1	PUM3	coding,nonCoding	protein_coding
chr8:119720000-119840000	chr8	119720000	119840000	8q	q24.12	2	DSCC1,TAF2	coding,nonCoding	protein_coding
chr11:11890000-11970000	chr11	11890000	11970000	11p	p15.3	1	DKK3	coding,nonCoding	protein_coding
chr2:1900000-2010000	chr2	1900000	2010000	2p	p25.3	1	MYT1L	nonCoding,coding	protein_coding
chr20:20790000-20890000	chr20	20790000	20890000	20p	p11.23				
chr4:106240000-106350000	chr4	106240000	106350000	4q	q24	2	TBCK,AIMP1	coding,nonCoding	protein_coding
chr1:172050000-172100000	chr1	172050000	172100000	1q	q24.3	1	DNM3	coding,nonCoding	protein_coding
chr11:112460000-112780000	chr11	112460000	112780000	11q	q23.1	2	LINC02763,LINC02764	nonCoding	lncRNA
chr3:89690000-89700000	chr3	89690000	89700000	3p	p11.1				
chr3:87920000-88130000	chr3	87920000	88130000	3p	p11.1			coding,nonCoding	protein_coding
chr9:104060000-104190000	chr9	104060000	104190000	9q	q31.1	2	SMC2-DT,SMC2	nonCoding,coding	lncRNA,protein_coding
chr14:96520000-96580000	chr14	96520000	96580000	14q	q32.2	1	PAPOLA	coding,nonCoding	protein_coding
chr2:181170000-181290000	chr2	181170000	181290000	2q	q31.3	1	LINC01934	nonCoding	lncRNA
chr3:34450000-34510000	chr3	34450000	34510000	3p	p22.3			nonCoding	lncRNA
chr5:64740000-64820000	chr5	64740000	64820000	5q	q12.3	2	SREK1IP1,CWC27	coding,nonCoding	protein_coding
chr8:60780000-60830000	chr8	60780000	60830000	8q	q12.2	1	CHD7	coding,nonCoding	protein_coding
chr1:158670000-158730000	chr1	158670000	158730000	1q	q23.1	3	OR6K2,OR6K3,SPTA1	coding,nonCoding	protein_coding
chr10:27450000-27540000	chr10	27450000	27540000	10p	p12.1	1	RAB18	coding,nonCoding	protein_coding
chr8:93250000-93290000	chr8	93250000	93290000	8q	q22.1			nonCoding	lncRNA
chr18:5700000-5730000	chr18	5700000	5730000	18p	p11.31			nonCoding	lncRNA
chr3:98470000-98520000	chr3	98470000	98520000	3q	q11.2	3	OR5K2,OR5K1,CLDND1	coding,nonCoding	protein_coding
chr19:5250000-5330000	chr19	5250000	5330000	19p	p13.3	1	PTPRS	coding,nonCoding	protein_coding
chr18:20960000-20970000	chr18	20960000	20970000	18q	q11.1	1	ROCK1	coding,nonCoding	protein_coding
chr6:111660000-111720000	chr6	111660000	111720000	6q	q21	1	FYN	coding,nonCoding	protein_coding
chr2:190530000-190590000	chr2	190530000	190590000	2q	q32.2	3	RN7SKP179,NEMP2,NEMP2-DT	nonCoding,coding	misc_RNA,protein_coding,lncRNA
chr3:150780000-150820000	chr3	150780000	150820000	3q	q25.1			nonCoding	lncRNA
chr5:75340000-75530000	chr5	75340000	75530000	5q	q13.3	3	HMGCR,CERT1,POLK	coding,nonCoding	protein_coding
chr3:32560000-32600000	chr3	32560000	32600000	3p	p22.3	1	DYNC1LI1	coding,nonCoding	protein_coding
chr8:95020000-95160000	chr8	95020000	95160000	8q	q22.1	6	MIR3150B,MIR3150BHG,RNU6-1209P,MIR3150A,NDUFAF6,PLEKHF2	nonCoding,coding	miRNA,lncRNA,snRNA,protein_coding
chr2:30520000-30580000	chr2	30520000	30580000	2p	p23.1	1	LCLAT1	coding	protein_coding
chr2:101670000-101700000	chr2	101670000	101700000	2q	q11.2	1	MAP4K4	coding,nonCoding	protein_coding
chr12:37540000-37550000	chr12	37540000	37550000	12q	q11				
chr4:159390000-159420000	chr4	159390000	159420000	4q	q32.1				
chr5:121930000-122050000	chr5	121930000	122050000	5q	q23.1	1	SRFBP1	coding	protein_coding
chr9:1290000-1330000	chr9	1290000	1330000	9p	p24.3				
chr6:117470000-117480000	chr6	117470000	117480000	6q	q22.1			coding,nonCoding	protein_coding
chr12:9800000-9940000	chr12	9800000	9940000	12p	p13.31	5	LINC02470,KLRF1,KLRF2,CLEC2A,CLEC2B	nonCoding,coding	lncRNA,protein_coding
chr13:48330000-48380000	chr13	48330000	48380000	13q	q14.2			coding,nonCoding	protein_coding
chr2:200360000-200590000	chr2	200360000	200590000	2q	q33.1	5	AOX1,KCTD18,SGO2,SPATS2L,RNY4P34	coding,nonCoding	protein_coding,misc_RNA
chr12:79770000-79800000	chr12	79770000	79800000	12q	q21.2	2	PPP1R12A-AS2,PPP1R12A	nonCoding,coding	lncRNA,protein_coding
chr9:116910000-116990000	chr9	116910000	116990000	9q	q33.1	1	ASTN2	coding	protein_coding
chr15:27000000-27200000	chr15	27000000	27200000	15q	q12	2	GABRG3,GABRG3-AS1	coding,nonCoding	protein_coding,lncRNA
chr5:100810000-100880000	chr5	100810000	100880000	5q	q21.1	2	MIR548P,ST8SIA4	nonCoding,coding	miRNA,protein_coding
chr2:117960000-118010000	chr2	117960000	118010000	2q	q14.1	1	CCDC93	coding,nonCoding	protein_coding
chr7:95690000-95700000	chr7	95690000	95700000	7q	q21.3				
chr22:45880000-45940000	chr22	45880000	45940000	22q	q13.31			coding	protein_coding
chr2:23800000-23840000	chr2	23800000	23840000	2p	p24.1			coding,nonCoding	protein_coding
chr5:55120000-55180000	chr5	55120000	55180000	5q	q11.2	5	MIR449A,MIR449C,MIR449B,CDC20B,GPX8	nonCoding,coding	miRNA,protein_coding
chr7:141340000-141430000	chr7	141340000	141430000	7q	q34	1	TMEM178B	coding,nonCoding	protein_coding
chr11:119580000-119690000	chr11	119580000	119690000	11q	q23.3	2	RNU6-1123P,NECTIN1	nonCoding,coding	lncRNA,snRNA,protein_coding
chr6:116530000-116640000	chr6	116530000	116640000	6q	q22.1	5	RSPH4A,ZUP1,TRAPPC3L,CALHM4,RWDD1	coding	protein_coding
chr1:198070000-198140000	chr1	198070000	198140000	1q	q31.3				
chr21:14940000-15010000	chr21	14940000	15010000	21q	q11.2	1	NRIP1	coding	protein_coding
chr2:177310000-177520000	chr2	177310000	177520000	2q	q31.2	2	MIR6512,AGPS	nonCoding,coding	miRNA,protein_coding
chr4:75970000-76010000	chr4	75970000	76010000	4q	q21.1	3	SDAD1-AS1,CXCL9,SDAD1	nonCoding,coding	lncRNA,protein_coding
chr1:36730000-36900000	chr1	36730000	36900000	1p	p34.3	1	GRIK3	coding	protein_coding
chr12:123320000-123350000	chr12	123320000	123350000	12q	q24.31	1	SBNO1	coding	protein_coding
chr15:55200000-55250000	chr15	55200000	55250000	15q	q21.3	1	RAB27A	coding,nonCoding	protein_coding
chr1:167190000-167370000	chr1	167190000	167370000	1q	q24.1	3	POU2F1-DT,LINC01363,POU2F1	nonCoding,coding	lncRNA,protein_coding
chr4:159380000-159410000	chr4	159380000	159410000	4q	q32.1				
chr3:101420000-101500000	chr3	101420000	101500000	3q	q12.3	1	SENP7	coding,nonCoding	protein_coding
chr7:50030000-50120000	chr7	50030000	50120000	7p	p12.2	1	ZPBP	coding	protein_coding
chr1:108550000-108650000	chr1	108550000	108650000	1p	p13.3	2	HENMT1,EEIG2	coding,nonCoding	protein_coding
chr6:118910000-119040000	chr6	118910000	119040000	6q	q22.31	1	FAM184A	coding,nonCoding	protein_coding
chr5:65960000-66080000	chr5	65960000	66080000	5q	q12.3	1	ERBIN	coding,nonCoding	protein_coding
chr12:113450000-113510000	chr12	113450000	113510000	12q	q24.13			coding,nonCoding	protein_coding,lncRNA
chr1:1970000-2020000	chr1	1970000	2020000	1p	p36.33	2	GABRD,CFAP74	coding,nonCoding	protein_coding
chr1:4120000-4180000	chr1	4120000	4180000	1p	p36.32				
chr11:35810000-35990000	chr11	35810000	35990000	11p	p13	2	LDLRAD3,TRIM44	coding	protein_coding
chr6:85470000-85640000	chr6	85470000	85640000	6q	q14.3	3	NT5E,SNX14,SYNCRIP	coding,nonCoding	protein_coding
chr2:31770000-32030000	chr2	31770000	32030000	2p	p23.1	3	MEMO1,LINC01946,DPY30	coding,nonCoding	protein_coding,lncRNA
chr8:38970000-39140000	chr8	38970000	39140000	8p	p11.22	6	SNORD38D,ADAM9,ADAM32,HTRA4,TM2D2,PLEKHA2	nonCoding,coding	snoRNA,protein_coding
chr10:20330000-20370000	chr10	20330000	20370000	10p	p12.31				
chr2:156270000-156340000	chr2	156270000	156340000	2q	q24.1	1	NR4A2	coding	protein_coding
chr11:116870000-116960000	chr11	116870000	116960000	11q	q23.3	1	SIK3	coding,nonCoding	protein_coding
chr1:185010000-185220000	chr1	185010000	185220000	1q	q25.3	3	TRMT1L,RNF2,SWT1	coding,nonCoding	protein_coding
